
INFO 	2016-03-11 10:17:13 	[add_to_metadata] 	-t <table>, -s <sample_id>, -u <time_stamp> -a <attribute> and or -v <value> are not provided; exiting...
INFO 	2016-03-11 10:17:13 	[add_to_metadata] 	t=chipseq s=gv_001_01_01_chipseq u=2016-03-11-10-16 a=PATH_JOB_FILE v=
INFO 	2016-03-11 10:17:53 	[trim_reads_trimmomatic] 	paths to read1 saved to metadata database
INFO 	2016-03-11 10:17:53 	[trim_reads_trimmomatic] 	sequencing type = SE
INFO 	2016-03-11 10:17:53 	[trim_reads_trimmomatic] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-03-11 10:17:53 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-03-11 10:54:57 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-03-11 10:54:58 	[trim_reads_trimmomatic] 	reads after trimming = 101046967
INFO 	2016-03-11 10:55:13 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-03-11 10:55:13 	[trim_reads_trimmomatic] 	trimmed reads are in /users/GR/mb/jquilez/data/chipseq/samples/gv_001_01_01_chipseq/fastqs_processed/trimmomatic/single_end
TIME 	2016-03-11 10:55:13 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2280

INFO 	2016-03-11 10:55:15 	[align_bwa] 	align single-end reads with BWA
INFO 	2016-03-11 10:55:15 	[align_bwa] 	alignments are converted to BAM, sorted by genomic coordinates and multi-mappings filtered out
[main] Version: 0.7.12-r1039
[main] CMD: /software/mb/el6.3/bwa/bwa-0.7.12/bwa mem -t 8 -M -R @RG\tID:'gv_001_01_01_chipseq'\tLB:'gv_001_01_01_chipseq'\tPL:illumina\tPU:'gv_001_01_01_chipseq'\tSM:'gv_001_01_01_chipseq' -v 0 /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv.fa /users/GR/mb/jquilez/data/chipseq/samples/gv_001_01_01_chipseq/fastqs_processed/trimmomatic/single_end/gv_001_01_01_chipseq_read1.fastq.gz
[main] Real time: 8639.200 sec; CPU: 67328.893 sec
[bam_sort_core] merging from 53 files...
INFO 	2016-03-11 13:48:23 	[align_bwa] 	reads aligned = 101048435
INFO 	2016-03-11 13:48:23 	[align_bwa] 	reads unique = 72021731
INFO 	2016-03-11 13:48:28 	[align_bwa] 	path to genome sequence FASTA and number of (uniquely) aligned reads added to metadata
TIME 	2016-03-11 13:48:43 	[align_bwa] 	step time for completion (seconds) = 10408

INFO 	2016-03-11 13:48:44 	[make_tag_directory] 	converting BAM to BED --required for making tag directory
INFO 	2016-03-11 13:52:32 	[make_tag_directory] 	make tag directory with HOMER
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	parse step log to extract generated metadata
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	estimated genome size = 3030062714
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	estimated average read density per bp = 0.023769
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	total tags = 72021731.0
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	total_positions = 46844696
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	avg. tag length = 48.3
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	median tags per position = 1
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	avg. tags per position = 1.537
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	fragment length estimate = 195
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	peak width estimate = 171
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	autocorrelation: same strand fold enrichment = 1.7
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	autocorrelation: diff strand fold enrichment = 1.5
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	autocorrelation: same-to-diff strand fold enrichment = 1.1
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	avg. fragment GC% = 40.94
INFO 	2016-03-11 14:03:41 	[make_tag_directory] 	avg. expected GC% = 40.57
INFO 	2016-03-11 14:04:01 	[make_tag_directory] 	ChIP-seq metrics calculated with Homer added to metadata
TIME 	2016-03-11 14:04:01 	[make_tag_directory] 	step time for completion (seconds) = 917

INFO 	2016-03-11 14:04:02 	[make_bigbed] 	make BigBed file
TIME 	2016-03-11 14:06:19 	[make_bigbed] 	step time for completion (seconds) = 137

INFO 	2016-03-11 14:06:21 	[calculate_rpms] 	generate reads pe million profile (RPM) fragment profile
INFO 	2016-03-11 14:06:21 	[calculate_rpms] 	get fragment length estimate (l) as calculated in the 'make_tag_directory' step
INFO 	2016-03-11 14:06:21 	[calculate_rpms] 	fragment length estimate = 195
INFO 	2016-03-11 14:06:21 	[calculate_rpms] 	fragment length correction = 195
INFO 	2016-03-11 14:06:21 	[calculate_rpms] 	the correction will be used if the estimate is not reliable
TIME 	2016-03-11 14:46:32 	[calculate_rpms] 	step time for completion (seconds) = 2411

INFO 	2016-03-11 14:46:34 	[call_peaks] 	Get fragment length estimate (l) as calculated in the 'make_tag_directory' step
INFO 	2016-03-11 14:46:34 	[call_peaks] 	Fragment length (l) is 195 bp (note this is not used if peak caller is zerone)
INFO 	2016-03-11 14:46:34 	[call_peaks] 	Peak calling with MACS2
INFO 	2016-03-11 14:46:34 	[call_peaks] 	genome size for homo_sapiens will be used
INFO 	2016-03-11 14:46:34 	[call_peaks] 	q-value cutoff =  (default is 0.01)
INFO 	2016-03-11 14:46:34 	[call_peaks] 	--nomodel (MACS2 will not try to model peak length but use l = 195 instead
INFO 	2016-03-11 14:46:34 	[call_peaks] 	--call-summits = MACS reanalyzes the shape of signal profile to deconvolve subpeaks within each peak called
INFO 	2016-03-11 14:46:35 	[call_peaks] 	peak calling with the sample alone (i.e. no input)
INFO 	2016-03-11 14:54:29 	[call_peaks] 	peaks = 11457
INFO 	2016-03-11 14:54:36 	[call_peaks] 	peak calling without input DNA as control added to metadata

