
INFO 	2015-11-18 16:16:33 	[calculate_rpms] 	Get fragment length estimate (l) as calculated in the 'make_tag_directory' step
INFO 	2015-11-18 16:16:34 	[calculate_rpms] 	Generate RPM fragment profile
TIME 	2015-11-18 18:05:14 	[calculate_rpms] 	step time for completion (seconds) = 6521

INFO 	2015-11-18 18:05:14 	[call_peaks] 	Get fragment length estimate (l) as calculated in the 'make_tag_directory' step
INFO 	2015-11-18 18:05:14 	[call_peaks] 	Fragment length (l) is 192 bp
INFO 	2015-11-18 18:05:14 	[call_peaks] 	Peak calling with MACS2
INFO 	2015-11-18 18:05:14 	[call_peaks] 	q-value cutoff = 0.01 (default is 0.01)
INFO 	2015-11-18 18:05:14 	[call_peaks] 	--nomodel (MACS2 will not try to model peak length but use l = 192 instead
INFO 	2015-11-18 18:05:15 	[call_peaks] 	Peak calling with the sample alone (i.e. no input)
TIME 	2015-11-18 18:19:22 	[call_peaks] 	step time for completion (seconds) = 848


