
INFO 	2015-11-26 10:45:16 	[mapping] 	mapping with bowtie; only unique and valid mappings are reported
INFO 	2015-11-26 11:29:03 	[mapping] 	sort and index BAM
[bam_sort_core] merging from 24 files...
TIME 	2015-11-26 11:34:27 	[mapping] 	step time for completion (seconds) = 2951

INFO 	2015-11-26 11:34:27 	[make_tag_directory] 	converting BAM to BED --required for making tag directory
INFO 	2015-11-26 11:37:28 	[make_tag_directory] 	Make tag directory with HOMER
TIME 	2015-11-26 11:46:21 	[make_tag_directory] 	step time for completion (seconds) = 714

INFO 	2015-11-26 11:46:21 	[make_bigbed] 	Make BigBed file
TIME 	2015-11-26 11:48:07 	[make_bigbed] 	step time for completion (seconds) = 106

INFO 	2015-11-26 11:48:07 	[calculate_rpms] 	Get fragment length estimate (l) as calculated in the 'make_tag_directory' step
INFO 	2015-11-26 11:48:07 	[calculate_rpms] 	Generate RPM fragment profile
TIME 	2015-11-26 12:45:57 	[calculate_rpms] 	step time for completion (seconds) = 3470

INFO 	2015-11-26 12:45:57 	[call_peaks] 	Get fragment length estimate (l) as calculated in the 'make_tag_directory' step
INFO 	2015-11-26 12:45:57 	[call_peaks] 	Fragment length (l) is 402 bp
INFO 	2015-11-26 12:45:58 	[call_peaks] 	Peak calling with MACS2
INFO 	2015-11-26 12:45:58 	[call_peaks] 	q-value cutoff = 0.01 (default is 0.01)
INFO 	2015-11-26 12:45:58 	[call_peaks] 	--nomodel (MACS2 will not try to model peak length but use l = 402 instead
INFO 	2015-11-26 12:45:58 	[call_peaks] 	Peak calling with the sample alone (i.e. no input)
TIME 	2015-11-26 12:52:51 	[call_peaks] 	step time for completion (seconds) = 414


