
INFO 	2015-11-25 10:36:29 	[mapping] 	mapping with bowtie; only unique and valid mappings are reported
INFO 	2015-11-25 11:01:41 	[mapping] 	sort and index BAM
[bam_sort_core] merging from 24 files...
TIME 	2015-11-25 11:07:07 	[mapping] 	step time for completion (seconds) = 1838

INFO 	2015-11-25 11:07:07 	[make_tag_directory] 	converting BAM to BED --required for making tag directory
INFO 	2015-11-25 11:10:08 	[make_tag_directory] 	Make tag directory with HOMER
TIME 	2015-11-25 11:22:31 	[make_tag_directory] 	step time for completion (seconds) = 924

INFO 	2015-11-25 11:22:31 	[make_bigbed] 	Make BigBed file
TIME 	2015-11-25 11:24:42 	[make_bigbed] 	step time for completion (seconds) = 131

INFO 	2015-11-25 11:24:42 	[calculate_rpms] 	Get fragment length estimate (l) as calculated in the 'make_tag_directory' step
INFO 	2015-11-25 11:24:42 	[calculate_rpms] 	Generate RPM fragment profile
TIME 	2015-11-25 12:35:31 	[calculate_rpms] 	step time for completion (seconds) = 4249


