
INFO 	2015-11-25 10:36:29 	[mapping] 	mapping with bowtie; only unique and valid mappings are reported
INFO 	2015-11-25 11:07:35 	[mapping] 	sort and index BAM
[bam_sort_core] merging from 24 files...
TIME 	2015-11-25 11:14:06 	[mapping] 	step time for completion (seconds) = 2257

INFO 	2015-11-25 11:14:06 	[make_tag_directory] 	converting BAM to BED --required for making tag directory
INFO 	2015-11-25 11:17:43 	[make_tag_directory] 	Make tag directory with HOMER
TIME 	2015-11-25 11:32:30 	[make_tag_directory] 	step time for completion (seconds) = 1104

INFO 	2015-11-25 11:32:30 	[make_bigbed] 	Make BigBed file
TIME 	2015-11-25 11:35:14 	[make_bigbed] 	step time for completion (seconds) = 164

INFO 	2015-11-25 11:35:15 	[calculate_rpms] 	Get fragment length estimate (l) as calculated in the 'make_tag_directory' step
INFO 	2015-11-25 11:35:15 	[calculate_rpms] 	Generate RPM fragment profile
TIME 	2015-11-25 13:01:05 	[calculate_rpms] 	step time for completion (seconds) = 5150


