
INFO 	2016-05-29 14:14:34 	[trim_reads_trimmomatic] 	paths to read1 and read2 saved to metadata database
INFO 	2016-05-29 14:14:34 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-05-29 14:14:34 	[trim_reads_trimmomatic] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-05-29 14:14:34 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-05-29 14:33:09 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-05-29 14:33:09 	[trim_reads_trimmomatic] 	reads after trimming = 32704808
INFO 	2016-05-29 14:33:30 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-05-29 14:33:30 	[trim_reads_trimmomatic] 	trimmed reads are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_013_01_01_rnaseq/fastqs_processed/trimmomatic/paired_end
INFO 	2016-05-29 14:33:30 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-05-29 14:33:41 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1153

INFO 	2016-05-29 14:33:43 	[align_star] 	align trimmed single-end reads with STAR (version = STAR_2.5.1b_modified)
INFO 	2016-05-29 14:33:43 	[align_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-05-29 14:44:58 	[align_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_013_01_01_rnaseq/alignments/star/hg38_mmtv/paired_end
INFO 	2016-05-29 14:45:53 	[align_star] 	parse step log to extract generated metadata
INFO 	2016-05-29 14:45:53 	[align_star] 	reads unique (number) = 29255619
INFO 	2016-05-29 14:45:53 	[align_star] 	reads unique (percentage) = 89.45
INFO 	2016-05-29 14:45:53 	[align_star] 	accepted multi-mappings (number) = 1606098
INFO 	2016-05-29 14:45:53 	[align_star] 	accepted multi-mappings (percentage) = 4.91
INFO 	2016-05-29 14:45:53 	[align_star] 	excluded multi-mappings (percentage) = 0.03
INFO 	2016-05-29 14:45:53 	[align_star] 	reads unmapped too short (percentage) = 4.89
INFO 	2016-05-29 14:45:53 	[align_star] 	splices (number) = 13500084
TIME 	2016-05-29 14:46:39 	[align_star] 	step time for completion (seconds) = 776

INFO 	2016-05-29 14:46:41 	[quality_alignments] 	general QC of the BAM (using qualimap's bamqc)
INFO 	2016-05-29 14:56:28 	[quality_alignments] 	parse step log to extract generated metadata
INFO 	2016-05-29 14:56:28 	[quality_alignments] 	percentage of overlapping read pais = 16.04510614637438609964
INFO 	2016-05-29 14:56:28 	[quality_alignments] 	percentage duplication = 37.16
INFO 	2016-05-29 14:56:28 	[quality_alignments] 	median insert size (bp) = 284
INFO 	2016-05-29 14:56:28 	[quality_alignments] 	mean mapping quality = 20.1736
INFO 	2016-05-29 14:56:28 	[quality_alignments] 	mean coverage (X) = 16.1339
