
INFO 	2016-06-03 17:40:23 	[quantification_featurecounts] 	quantifying read counts per gene using featureCounts
INFO 	2016-06-03 17:40:23 	[quantification_featurecounts] 	using gene models from /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38/gencode/gencode.v24.annotation.gtf
INFO 	2016-06-03 17:40:23 	[quantification_featurecounts] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-06-03 17:40:23 	[quantification_featurecounts] 	even if the *_mmtv version of the assembly is used, gene/transcript models are the same as for *
INFO 	2016-06-03 17:40:23 	[quantification_featurecounts] 	sequencing type is PE so fragments are counted
INFO 	2016-06-03 17:54:05 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_020_01_01_rnaseq/quantifications/featurecounts/hg38_mmtv/paired_end
INFO 	2016-06-03 17:54:05 	[quantification_featurecounts] 	parse step log to extract generated metadata
INFO 	2016-06-03 17:54:05 	[quantification_featurecounts] 	total fragments = 37689806
INFO 	2016-06-03 17:54:05 	[quantification_featurecounts] 	percentage fragments assigned = 70.95975235319598089732
INFO 	2016-06-03 17:54:05 	[quantification_featurecounts] 	percentage fragments ambiguous = 1.85750491790804123534
INFO 	2016-06-03 17:54:05 	[quantification_featurecounts] 	percentage fragments multi-mapping = 14.64429665676708444718
INFO 	2016-06-03 17:54:05 	[quantification_featurecounts] 	percentage fragments no features = 12.53844607212889342014
TIME 	2016-06-03 17:54:10 	[quantification_featurecounts] 	step time for completion (seconds) = 827


INFO 	2016-06-03 17:54:12 	[pipeline] 	completed successfully
TIME 	2016-06-03 17:54:12 	[pipeline] 	total time for completion (seconds) = 848

