
INFO 	2016-01-19 17:08:42 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-01-19 17:08:42 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-01-19 17:31:23 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-01-19 17:31:23 	[trim_reads] 	step time for completion (seconds) = 1362

INFO 	2016-01-19 17:31:23 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-01-19 17:31:23 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-01-19 17:50:48 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/R6h-siC/alignments/star
TIME 	2016-01-19 17:50:48 	[map_star] 	step time for completion (seconds) = 1165

INFO 	2016-01-19 17:50:49 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-01-19 17:50:49 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-01-19 18:08:06 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-01-19 18:16:25 	[make_profiles] 	delete intermediate BED
TIME 	2016-01-19 18:16:26 	[make_profiles] 	step time for completion (seconds) = 1538

INFO 	2016-01-19 18:16:26 	[quantification_htseq] 	quantifying abundances of transcripts using HTSeq
INFO 	2016-01-19 18:16:26 	[quantification_htseq] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-19 20:25:35 	[quantification_htseq] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/R6h-siC/quantifications/htseq
TIME 	2016-01-19 20:25:35 	[quantification_htseq] 	step time for completion (seconds) = 7749

INFO 	2016-01-19 20:25:35 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-01-19 20:25:35 	[quantification_kallisto] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-19 20:45:08 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-01-19 20:45:52 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/R6h-siC/quantifications/kallisto
TIME 	2016-01-19 20:45:52 	[quantification_kallisto] 	step time for completion (seconds) = 1217

INFO 	2016-01-19 20:45:52 	[quantification_featurecounts] 	quantifying abundances of transcripts using featureCounts
INFO 	2016-01-19 20:45:52 	[quantification_featurecounts] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-19 21:04:54 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/R6h-siC/quantifications/featurecounts
TIME 	2016-01-19 21:04:54 	[quantification_featurecounts] 	step time for completion (seconds) = 1142


