
INFO 	2016-01-19 17:24:05 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-01-19 17:24:05 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-01-19 17:52:41 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-01-19 17:52:41 	[trim_reads] 	step time for completion (seconds) = 1717

INFO 	2016-01-19 17:52:41 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-01-19 17:52:41 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-01-19 18:11:59 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/T0-siC/alignments/star
TIME 	2016-01-19 18:11:59 	[map_star] 	step time for completion (seconds) = 1158

INFO 	2016-01-19 18:11:59 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-01-19 18:11:59 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-01-19 18:33:53 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-01-19 18:44:06 	[make_profiles] 	delete intermediate BED
TIME 	2016-01-19 18:44:08 	[make_profiles] 	step time for completion (seconds) = 1929

INFO 	2016-01-19 18:44:08 	[quantification_htseq] 	quantifying abundances of transcripts using HTSeq
INFO 	2016-01-19 18:44:08 	[quantification_htseq] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-19 21:24:13 	[quantification_htseq] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/T0-siC/quantifications/htseq
TIME 	2016-01-19 21:24:13 	[quantification_htseq] 	step time for completion (seconds) = 9605

INFO 	2016-01-19 21:24:13 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-01-19 21:24:14 	[quantification_kallisto] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-19 21:45:03 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-01-19 21:45:45 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/T0-siC/quantifications/kallisto
TIME 	2016-01-19 21:45:45 	[quantification_kallisto] 	step time for completion (seconds) = 1292

INFO 	2016-01-19 21:45:45 	[quantification_featurecounts] 	quantifying abundances of transcripts using featureCounts
INFO 	2016-01-19 21:45:45 	[quantification_featurecounts] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-19 22:10:22 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/T0-siC/quantifications/featurecounts
TIME 	2016-01-19 22:10:22 	[quantification_featurecounts] 	step time for completion (seconds) = 1477


