
INFO 	2016-02-08 14:48:42 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-02-08 14:48:42 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-02-08 15:17:48 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-02-08 15:17:48 	[trim_reads] 	step time for completion (seconds) = 1747

INFO 	2016-02-08 15:17:48 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-02-08 15:17:48 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-02-08 15:31:26 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/T0_BR61_1/alignments/star
TIME 	2016-02-08 15:31:26 	[map_star] 	step time for completion (seconds) = 818

INFO 	2016-02-08 15:31:26 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-02-08 15:31:26 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-02-08 15:49:41 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-02-08 15:58:25 	[make_profiles] 	delete intermediate BED
TIME 	2016-02-08 15:58:26 	[make_profiles] 	step time for completion (seconds) = 1620

INFO 	2016-02-08 15:58:26 	[quantification_htseq] 	quantifying abundances of transcripts using HTSeq
INFO 	2016-02-08 15:58:26 	[quantification_htseq] 	using Ensemble genes as transcriptome reference
INFO 	2016-02-08 18:18:26 	[quantification_htseq] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/T0_BR61_1/quantifications/htseq
TIME 	2016-02-08 18:18:26 	[quantification_htseq] 	step time for completion (seconds) = 8400

INFO 	2016-02-08 18:18:26 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-02-08 18:18:26 	[quantification_kallisto] 	using Ensemble genes as transcriptome reference
INFO 	2016-02-08 18:38:26 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-02-08 18:39:06 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/T0_BR61_1/quantifications/kallisto
TIME 	2016-02-08 18:39:06 	[quantification_kallisto] 	step time for completion (seconds) = 1240

INFO 	2016-02-08 18:39:06 	[quantification_featurecounts] 	quantifying abundances of transcripts using featureCounts
INFO 	2016-02-08 18:39:06 	[quantification_featurecounts] 	using Ensemble genes as transcriptome reference
INFO 	2016-02-08 19:03:09 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/T0_BR61_1/quantifications/featurecounts
TIME 	2016-02-08 19:03:09 	[quantification_featurecounts] 	step time for completion (seconds) = 1443


