
INFO 	2016-02-08 14:48:42 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-02-08 14:48:42 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-02-08 15:17:59 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-02-08 15:18:00 	[trim_reads] 	step time for completion (seconds) = 1758

INFO 	2016-02-08 15:18:00 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-02-08 15:18:00 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-02-08 15:32:12 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/T0_CTRL_1/alignments/star
TIME 	2016-02-08 15:32:12 	[map_star] 	step time for completion (seconds) = 852

INFO 	2016-02-08 15:32:12 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-02-08 15:32:12 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-02-08 15:52:21 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-02-08 16:01:12 	[make_profiles] 	delete intermediate BED
TIME 	2016-02-08 16:01:13 	[make_profiles] 	step time for completion (seconds) = 1741

INFO 	2016-02-08 16:01:13 	[quantification_htseq] 	quantifying abundances of transcripts using HTSeq
INFO 	2016-02-08 16:01:13 	[quantification_htseq] 	using Ensemble genes as transcriptome reference
INFO 	2016-02-08 18:29:55 	[quantification_htseq] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/T0_CTRL_1/quantifications/htseq
TIME 	2016-02-08 18:29:55 	[quantification_htseq] 	step time for completion (seconds) = 8922

INFO 	2016-02-08 18:29:55 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-02-08 18:29:55 	[quantification_kallisto] 	using Ensemble genes as transcriptome reference
INFO 	2016-02-08 18:48:39 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-02-08 18:49:19 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/T0_CTRL_1/quantifications/kallisto
TIME 	2016-02-08 18:49:19 	[quantification_kallisto] 	step time for completion (seconds) = 1164

INFO 	2016-02-08 18:49:19 	[quantification_featurecounts] 	quantifying abundances of transcripts using featureCounts
INFO 	2016-02-08 18:49:19 	[quantification_featurecounts] 	using Ensemble genes as transcriptome reference
INFO 	2016-02-08 19:10:07 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/T0_CTRL_1/quantifications/featurecounts
TIME 	2016-02-08 19:10:07 	[quantification_featurecounts] 	step time for completion (seconds) = 1248


