
INFO 	2016-01-08 15:11:04 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-01-08 15:11:04 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-01-08 15:28:55 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-01-08 15:28:55 	[trim_reads] 	step time for completion (seconds) = 1072

INFO 	2016-01-08 15:28:55 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-01-08 15:28:55 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-01-08 15:42:42 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/siC-T0-R1/alignments/star
TIME 	2016-01-08 15:42:42 	[map_star] 	step time for completion (seconds) = 827

INFO 	2016-01-08 15:42:42 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-01-08 15:42:42 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-01-08 15:56:06 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-01-08 16:02:42 	[make_profiles] 	delete intermediate BED
TIME 	2016-01-08 16:02:43 	[make_profiles] 	step time for completion (seconds) = 1201

INFO 	2016-01-08 16:02:43 	[quantification_htseq] 	quantifying abundances of transcripts using HTSeq
INFO 	2016-01-08 16:02:43 	[quantification_htseq] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-08 17:37:17 	[quantification_htseq] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siC-T0-R1/quantifications/htseq
TIME 	2016-01-08 17:37:18 	[quantification_htseq] 	step time for completion (seconds) = 5675

INFO 	2016-01-08 17:37:18 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-01-08 17:37:18 	[quantification_kallisto] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-08 18:06:09 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-01-08 18:07:18 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siC-T0-R1/quantifications/kallisto
TIME 	2016-01-08 18:07:18 	[quantification_kallisto] 	step time for completion (seconds) = 1800

INFO 	2016-01-08 18:07:18 	[quantification_featurecounts] 	quantifying abundances of transcripts using featureCounts
INFO 	2016-01-08 18:07:18 	[quantification_featurecounts] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-08 18:20:42 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siC-T0-R1/quantifications/featurecounts
TIME 	2016-01-08 18:20:42 	[quantification_featurecounts] 	step time for completion (seconds) = 804


