
INFO 	2016-01-08 15:11:03 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-01-08 15:11:03 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-01-08 16:06:45 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-01-08 16:06:45 	[trim_reads] 	step time for completion (seconds) = 3342

INFO 	2016-01-08 16:06:45 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-01-08 16:06:45 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-01-08 16:49:59 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/siPADI2-R6h-R2/alignments/star
TIME 	2016-01-08 16:49:59 	[map_star] 	step time for completion (seconds) = 2594

INFO 	2016-01-08 16:49:59 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-01-08 16:49:59 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-01-08 17:25:47 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-01-08 17:43:58 	[make_profiles] 	delete intermediate BED
TIME 	2016-01-08 17:44:01 	[make_profiles] 	step time for completion (seconds) = 3242

INFO 	2016-01-08 17:44:01 	[quantification_htseq] 	quantifying abundances of transcripts using HTSeq
INFO 	2016-01-08 17:44:01 	[quantification_htseq] 	using Ensemble genes as transcriptome reference
