
INFO 	2016-01-11 12:35:37 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-01-11 12:35:37 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-01-11 12:55:05 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-01-11 12:55:05 	[trim_reads] 	step time for completion (seconds) = 1168

INFO 	2016-01-11 12:55:05 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-01-11 12:55:05 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-01-11 13:10:53 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/siCBX3_T6_2/alignments/star
TIME 	2016-01-11 13:10:53 	[map_star] 	step time for completion (seconds) = 948

INFO 	2016-01-11 13:10:53 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-01-11 13:10:53 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-01-11 13:23:40 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-01-11 13:31:00 	[make_profiles] 	delete intermediate BED
TIME 	2016-01-11 13:31:01 	[make_profiles] 	step time for completion (seconds) = 1208

INFO 	2016-01-11 13:31:01 	[quantification_htseq] 	quantifying abundances of transcripts using HTSeq
INFO 	2016-01-11 13:31:01 	[quantification_htseq] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-11 15:22:09 	[quantification_htseq] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siCBX3_T6_2/quantifications/htseq
TIME 	2016-01-11 15:22:09 	[quantification_htseq] 	step time for completion (seconds) = 6668

INFO 	2016-01-11 15:22:09 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-01-11 15:22:09 	[quantification_kallisto] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-11 15:50:22 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-01-11 15:51:32 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siCBX3_T6_2/quantifications/kallisto
TIME 	2016-01-11 15:51:32 	[quantification_kallisto] 	step time for completion (seconds) = 1763

INFO 	2016-01-11 15:51:32 	[quantification_featurecounts] 	quantifying abundances of transcripts using featureCounts
INFO 	2016-01-11 15:51:32 	[quantification_featurecounts] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-11 16:07:56 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siCBX3_T6_2/quantifications/featurecounts
TIME 	2016-01-11 16:07:56 	[quantification_featurecounts] 	step time for completion (seconds) = 984


