
INFO 	2016-01-11 12:43:57 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-01-11 12:43:57 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-01-11 13:08:49 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-01-11 13:08:49 	[trim_reads] 	step time for completion (seconds) = 1492

INFO 	2016-01-11 13:08:49 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-01-11 13:08:49 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-01-11 13:22:21 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/siCont_T6_CB/alignments/star
TIME 	2016-01-11 13:22:21 	[map_star] 	step time for completion (seconds) = 812

INFO 	2016-01-11 13:22:21 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-01-11 13:22:21 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-01-11 13:38:41 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-01-11 13:48:14 	[make_profiles] 	delete intermediate BED
TIME 	2016-01-11 13:48:15 	[make_profiles] 	step time for completion (seconds) = 1554

INFO 	2016-01-11 13:48:15 	[quantification_htseq] 	quantifying abundances of transcripts using HTSeq
INFO 	2016-01-11 13:48:15 	[quantification_htseq] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-11 16:26:20 	[quantification_htseq] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siCont_T6_CB/quantifications/htseq
TIME 	2016-01-11 16:26:20 	[quantification_htseq] 	step time for completion (seconds) = 9485

INFO 	2016-01-11 16:26:20 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-01-11 16:26:20 	[quantification_kallisto] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-11 16:58:22 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-01-11 16:59:38 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siCont_T6_CB/quantifications/kallisto
TIME 	2016-01-11 16:59:38 	[quantification_kallisto] 	step time for completion (seconds) = 1998

INFO 	2016-01-11 16:59:38 	[quantification_featurecounts] 	quantifying abundances of transcripts using featureCounts
INFO 	2016-01-11 16:59:38 	[quantification_featurecounts] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-11 17:22:53 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siCont_T6_CB/quantifications/featurecounts
TIME 	2016-01-11 17:22:53 	[quantification_featurecounts] 	step time for completion (seconds) = 1395


