
INFO 	2016-01-11 12:52:11 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-01-11 12:52:11 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-01-11 13:15:44 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-01-11 13:15:44 	[trim_reads] 	step time for completion (seconds) = 1414

INFO 	2016-01-11 13:15:44 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-01-11 13:15:44 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-01-11 13:29:43 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/siFOXA1_T0_1/alignments/star
TIME 	2016-01-11 13:29:43 	[map_star] 	step time for completion (seconds) = 839

INFO 	2016-01-11 13:29:43 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-01-11 13:29:43 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-01-11 13:45:42 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-01-11 13:55:24 	[make_profiles] 	delete intermediate BED
TIME 	2016-01-11 13:55:25 	[make_profiles] 	step time for completion (seconds) = 1542

INFO 	2016-01-11 13:55:25 	[quantification_htseq] 	quantifying abundances of transcripts using HTSeq
INFO 	2016-01-11 13:55:25 	[quantification_htseq] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-11 16:25:10 	[quantification_htseq] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siFOXA1_T0_1/quantifications/htseq
TIME 	2016-01-11 16:25:10 	[quantification_htseq] 	step time for completion (seconds) = 8985

INFO 	2016-01-11 16:25:10 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-01-11 16:25:10 	[quantification_kallisto] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-11 17:08:48 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-01-11 17:09:59 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siFOXA1_T0_1/quantifications/kallisto
TIME 	2016-01-11 17:09:59 	[quantification_kallisto] 	step time for completion (seconds) = 2689

INFO 	2016-01-11 17:09:59 	[quantification_featurecounts] 	quantifying abundances of transcripts using featureCounts
INFO 	2016-01-11 17:09:59 	[quantification_featurecounts] 	using Ensemble genes as transcriptome reference
INFO 	2016-01-11 17:33:44 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/siFOXA1_T0_1/quantifications/featurecounts
TIME 	2016-01-11 17:33:44 	[quantification_featurecounts] 	step time for completion (seconds) = 1425


