
INFO 	2016-01-26 16:11:50 	[trim_reads] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-01-26 16:11:50 	[trim_reads] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-01-26 16:45:21 	[trim_reads] 	unpaired reads are deleted
TIME 	2016-01-26 16:45:21 	[trim_reads] 	step time for completion (seconds) = 2011

INFO 	2016-01-26 16:45:21 	[map_star] 	mapping trimmed paired-end reads with STAR
INFO 	2016-01-26 16:45:21 	[map_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-01-26 17:15:04 	[map_star] 	alignments are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_01_15_rnaseq/alignments/star/hg38
TIME 	2016-01-26 17:15:04 	[map_star] 	step time for completion (seconds) = 1783

INFO 	2016-01-26 17:15:04 	[make_profiles] 	make read profiles from STAR alignments
INFO 	2016-01-26 17:15:04 	[make_profiles] 	Filtering valid pairs (for paired-end data only) and convert BAM to BED
INFO 	2016-01-26 17:38:04 	[make_profiles] 	converting BED to bigWig (more suitable for UCSC Genome Browser uploads)
INFO 	2016-01-26 17:45:07 	[make_profiles] 	profiles are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_01_15_rnaseq/profiles/hg38
INFO 	2016-01-26 17:45:07 	[make_profiles] 	delete intermediate BED
TIME 	2016-01-26 17:45:08 	[make_profiles] 	step time for completion (seconds) = 1804

INFO 	2016-01-26 17:45:08 	[quantification_kallisto] 	performing pseudoalignment and quantifying abundances of transcripts using kallisto
INFO 	2016-01-26 17:45:08 	[quantification_kallisto] 	using /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38/kallisto_index/kallisto_homo_sapiens_hg38_gencode_v24.index as transcriptome reference
INFO 	2016-01-26 17:45:08 	[quantification_kallisto] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-01-26 18:15:10 	[quantification_kallisto] 	converting form HDF5 to text
INFO 	2016-01-26 18:16:35 	[quantification_kallisto] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_01_15_rnaseq/quantifications/kallisto/hg38
TIME 	2016-01-26 18:16:35 	[quantification_kallisto] 	step time for completion (seconds) = 1887

INFO 	2016-01-26 18:16:35 	[quantification_featurecounts] 	quantifying read counts per gene using featureCounts
INFO 	2016-01-26 18:16:35 	[quantification_featurecounts] 	using gene models from /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38/gencode/gencode.v24.annotation.gtf
INFO 	2016-01-26 18:16:35 	[quantification_featurecounts] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-01-26 18:34:38 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_01_15_rnaseq/quantifications/featurecounts/hg38
TIME 	2016-01-26 18:34:38 	[quantification_featurecounts] 	step time for completion (seconds) = 1083


