
INFO 	2016-09-21 12:15:41 	[trim_reads_trimmomatic] 	paths to read1 saved to metadata database
INFO 	2016-09-21 12:15:41 	[trim_reads_trimmomatic] 	sequencing type = SE
INFO 	2016-09-21 12:15:41 	[trim_reads_trimmomatic] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-09-21 12:15:41 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-09-21 12:42:00 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-09-21 12:42:01 	[trim_reads_trimmomatic] 	reads after trimming = 58667331
INFO 	2016-09-21 12:42:41 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-09-21 12:42:41 	[trim_reads_trimmomatic] 	trimmed reads are in /users/GR/mb/jquilez/data/chipseq/samples/al_004_01_01_chipseq/fastqs_processed/trimmomatic/single_end
TIME 	2016-09-21 12:42:41 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1655

INFO 	2016-09-21 12:42:42 	[align_bwa] 	align single-end reads with BWA
INFO 	2016-09-21 12:42:42 	[align_bwa] 	alignments are converted to BAM, sorted by genomic coordinates and multi-mappings filtered out
[main] Version: 0.7.12-r1039
[main] CMD: /software/mb/el6.3/bwa/bwa-0.7.12/bwa mem -t 8 -M -R @RG\tID:'al_004_01_01_chipseq'\tLB:'al_004_01_01_chipseq'\tPL:illumina\tPU:'al_004_01_01_chipseq'\tSM:'al_004_01_01_chipseq' -v 0 /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYMUn.fa /users/GR/mb/jquilez/data/chipseq/samples/al_004_01_01_chipseq/fastqs_processed/trimmomatic/single_end/al_004_01_01_chipseq_read1.fastq.gz
[main] Real time: 2935.115 sec; CPU: 22385.191 sec
[bam_sort_core] merging from 30 files...
INFO 	2016-09-21 13:57:21 	[align_bwa] 	reads aligned = 58721076
INFO 	2016-09-21 13:57:22 	[align_bwa] 	reads unique = 52607126
INFO 	2016-09-21 13:57:53 	[align_bwa] 	path to genome sequence FASTA and number of (uniquely) aligned reads added to metadata
TIME 	2016-09-21 13:58:07 	[align_bwa] 	step time for completion (seconds) = 4525

INFO 	2016-09-21 13:58:08 	[quality_alignments] 	general QC of the BAM (using qualimap's bamqc)
INFO 	2016-09-21 14:02:05 	[quality_alignments] 	parse step log to extract generated metadata
INFO 	2016-09-21 14:02:05 	[quality_alignments] 	percentage duplication = 10.16
INFO 	2016-09-21 14:02:05 	[quality_alignments] 	median insert size (bp) = 0
INFO 	2016-09-21 14:02:05 	[quality_alignments] 	mean mapping quality = 44.9078
INFO 	2016-09-21 14:02:05 	[quality_alignments] 	mean coverage (X) = 1.2704
INFO 	2016-09-21 14:02:05 	[quality_alignments] 	mean coverage adjusted paired-end = .
