
INFO 	2016-08-23 08:28:23 	[trim_reads_trimmomatic] 	paths to read1 saved to metadata database
INFO 	2016-08-23 08:28:23 	[trim_reads_trimmomatic] 	sequencing type = SE
INFO 	2016-08-23 08:28:23 	[trim_reads_trimmomatic] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-08-23 08:28:23 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-08-23 09:29:00 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-08-23 09:29:00 	[trim_reads_trimmomatic] 	reads after trimming = 166917854
INFO 	2016-08-23 09:29:23 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-08-23 09:29:23 	[trim_reads_trimmomatic] 	trimmed reads are in /users/GR/mb/jquilez/data/chipseq/samples/ps_009_01_01_chipseq/fastqs_processed/trimmomatic/single_end
TIME 	2016-08-23 09:29:23 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3721

INFO 	2016-08-23 09:29:25 	[align_bwa] 	align single-end reads with BWA
INFO 	2016-08-23 09:29:25 	[align_bwa] 	alignments are converted to BAM, sorted by genomic coordinates and multi-mappings filtered out
[main] Version: 0.7.12-r1039
[main] CMD: /software/mb/el6.3/bwa/bwa-0.7.12/bwa mem -t 8 -M -R @RG\tID:'ps_009_01_01_chipseq'\tLB:'ps_009_01_01_chipseq'\tPL:illumina\tPU:'ps_009_01_01_chipseq'\tSM:'ps_009_01_01_chipseq' -v 0 /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYMUn.fa /users/GR/mb/jquilez/data/chipseq/samples/ps_009_01_01_chipseq/fastqs_processed/trimmomatic/single_end/ps_009_01_01_chipseq_read1.fastq.gz
[main] Real time: 8435.372 sec; CPU: 65094.806 sec
[bam_sort_core] merging from 91 files...
INFO 	2016-08-23 12:32:27 	[align_bwa] 	reads aligned = 166923273
INFO 	2016-08-23 12:32:27 	[align_bwa] 	reads unique = 134171162
INFO 	2016-08-23 12:32:33 	[align_bwa] 	path to genome sequence FASTA and number of (uniquely) aligned reads added to metadata
TIME 	2016-08-23 12:32:56 	[align_bwa] 	step time for completion (seconds) = 11011

INFO 	2016-08-23 12:32:58 	[quality_alignments] 	general QC of the BAM (using qualimap's bamqc)
INFO 	2016-08-23 12:40:41 	[quality_alignments] 	parse step log to extract generated metadata
INFO 	2016-08-23 12:40:41 	[quality_alignments] 	percentage duplication = 42.1
INFO 	2016-08-23 12:40:41 	[quality_alignments] 	median insert size (bp) = 0
INFO 	2016-08-23 12:40:41 	[quality_alignments] 	mean mapping quality = 42.7727
INFO 	2016-08-23 12:40:41 	[quality_alignments] 	mean coverage (X) = 2.1644
INFO 	2016-08-23 12:40:41 	[quality_alignments] 	mean coverage adjusted paired-end = .
TIME 	2016-08-23 12:40:51 	[quality_alignments] 	step time for completion (seconds) = 473

INFO 	2016-08-23 12:40:53 	[make_tag_directory] 	converting BAM to BED --required for making tag directory
INFO 	2016-08-23 12:47:26 	[make_tag_directory] 	make tag directory with HOMER
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	parse step log to extract generated metadata
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	estimated genome size = 3090983783
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	estimated average read density per bp = 0.043407
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	total tags = 134171162.0
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	total_positions = 82683458
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	avg. tag length = 49.9
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	median tags per position = 1
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	avg. tags per position = 1.623
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	fragment length estimate = 242
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	peak width estimate = 216
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	autocorrelation: same strand fold enrichment = 1.1
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	autocorrelation: diff strand fold enrichment = 1.1
INFO 	2016-08-23 13:07:10 	[make_tag_directory] 	autocorrelation: same-to-diff strand fold enrichment = 1.0
