
INFO 	2016-09-02 10:46:47 	[trim_reads_trimmomatic] 	sequencing type = SE
INFO 	2016-09-02 10:46:47 	[trim_reads_trimmomatic] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-09-02 10:46:47 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-09-02 11:41:47 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-09-02 11:41:48 	[trim_reads_trimmomatic] 	reads after trimming = 150413195
INFO 	2016-09-02 11:41:48 	[trim_reads_trimmomatic] 	trimmed reads are in /users/GR/mb/jquilez/data/chipseq/samples/ps_011_01_01_chipseq/fastqs_processed/trimmomatic/single_end
TIME 	2016-09-02 11:41:48 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 3356

INFO 	2016-09-02 11:41:48 	[align_bwa] 	align single-end reads with BWA
INFO 	2016-09-02 11:41:48 	[align_bwa] 	alignments are converted to BAM, sorted by genomic coordinates and multi-mappings filtered out
[main] Version: 0.7.12-r1039
[main] CMD: /software/mb/el6.3/bwa/bwa-0.7.12/bwa mem -t 8 -M -R @RG\tID:'ps_011_01_01_chipseq'\tLB:'ps_011_01_01_chipseq'\tPL:illumina\tPU:'ps_011_01_01_chipseq'\tSM:'ps_011_01_01_chipseq' -v 0 /users/GR/mb/jquilez/assemblies/homo_sapiens/hg19/ucsc/hg19_chr1-22XYMUn.fa /users/GR/mb/jquilez/data/chipseq/samples/ps_011_01_01_chipseq/fastqs_processed/trimmomatic/single_end/ps_011_01_01_chipseq_read1.fastq.gz
[main] Real time: 5354.464 sec; CPU: 40769.520 sec
[bam_sort_core] merging from 83 files...
INFO 	2016-09-02 13:52:22 	[align_bwa] 	reads aligned = 150420826
INFO 	2016-09-02 13:52:22 	[align_bwa] 	reads unique = 121039414
TIME 	2016-09-02 13:52:43 	[align_bwa] 	step time for completion (seconds) = 7855

INFO 	2016-09-02 13:52:44 	[quality_alignments] 	general QC of the BAM (using qualimap's bamqc)
INFO 	2016-09-02 13:59:25 	[quality_alignments] 	parse step log to extract generated metadata
INFO 	2016-09-02 13:59:25 	[quality_alignments] 	percentage duplication = 28.71
INFO 	2016-09-02 13:59:25 	[quality_alignments] 	median insert size (bp) = 0
INFO 	2016-09-02 13:59:25 	[quality_alignments] 	mean mapping quality = 47.5972
INFO 	2016-09-02 13:59:25 	[quality_alignments] 	mean coverage (X) = 1.9447
INFO 	2016-09-02 13:59:25 	[quality_alignments] 	mean coverage adjusted paired-end = .
TIME 	2016-09-02 13:59:25 	[quality_alignments] 	step time for completion (seconds) = 402

INFO 	2016-09-02 13:59:25 	[make_tag_directory] 	converting BAM to BED --required for making tag directory
INFO 	2016-09-02 14:05:22 	[make_tag_directory] 	make tag directory with HOMER
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	parse step log to extract generated metadata
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	estimated genome size = 3097633942
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	estimated average read density per bp = 0.039075
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	total tags = 121039414.0
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	total_positions = 88098612
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	avg. tag length = 49.8
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	median tags per position = 1
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	avg. tags per position = 1.374
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	fragment length estimate = 232
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	peak width estimate = 262
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	autocorrelation: same strand fold enrichment = 1.1
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	autocorrelation: diff strand fold enrichment = 1.1
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	autocorrelation: same-to-diff strand fold enrichment = 1.0
INFO 	2016-09-02 14:26:31 	[make_tag_directory] 	avg. fragment GC% = 43.43
