
INFO 	2016-08-25 14:40:16 	[trim_reads_trimmomatic] 	paths to read1 saved to metadata database
INFO 	2016-08-25 14:40:16 	[trim_reads_trimmomatic] 	sequencing type = SE
INFO 	2016-08-25 14:40:16 	[trim_reads_trimmomatic] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-08-25 14:40:16 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-08-25 14:56:40 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-08-25 14:56:40 	[trim_reads_trimmomatic] 	reads after trimming = 31249888
INFO 	2016-08-25 14:57:01 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-08-25 14:57:01 	[trim_reads_trimmomatic] 	trimmed reads are in /users/GR/mb/jquilez/data/chipseq/samples/rw_004_01_01_chipseq/fastqs_processed/trimmomatic/single_end
TIME 	2016-08-25 14:57:01 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 1021

INFO 	2016-08-25 14:57:03 	[align_bwa] 	align single-end reads with BWA
INFO 	2016-08-25 14:57:03 	[align_bwa] 	alignments are converted to BAM, sorted by genomic coordinates and multi-mappings filtered out
[main] Version: 0.7.12-r1039
[main] CMD: /software/mb/el6.3/bwa/bwa-0.7.12/bwa mem -t 8 -M -R @RG\tID:'rw_004_01_01_chipseq'\tLB:'rw_004_01_01_chipseq'\tPL:illumina\tPU:'rw_004_01_01_chipseq'\tSM:'rw_004_01_01_chipseq' -v 0 /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38_mmtv/ucsc/hg38_mmtv_chr1-22XYMUn.fa /users/GR/mb/jquilez/data/chipseq/samples/rw_004_01_01_chipseq/fastqs_processed/trimmomatic/single_end/rw_004_01_01_chipseq_read1.fastq.gz
[main] Real time: 1557.767 sec; CPU: 11924.134 sec
[bam_sort_core] merging from 15 files...
INFO 	2016-08-25 15:35:56 	[align_bwa] 	reads aligned = 31265315
INFO 	2016-08-25 15:35:56 	[align_bwa] 	reads unique = 28050718
INFO 	2016-08-25 15:36:17 	[align_bwa] 	path to genome sequence FASTA and number of (uniquely) aligned reads added to metadata
TIME 	2016-08-25 15:36:23 	[align_bwa] 	step time for completion (seconds) = 2360

INFO 	2016-08-25 15:36:25 	[quality_alignments] 	general QC of the BAM (using qualimap's bamqc)
INFO 	2016-08-25 15:38:55 	[quality_alignments] 	parse step log to extract generated metadata
INFO 	2016-08-25 15:38:56 	[quality_alignments] 	percentage duplication = 11.37
INFO 	2016-08-25 15:38:56 	[quality_alignments] 	median insert size (bp) = 0
INFO 	2016-08-25 15:38:56 	[quality_alignments] 	mean mapping quality = 45.2449
INFO 	2016-08-25 15:38:56 	[quality_alignments] 	mean coverage (X) = 0.6775
INFO 	2016-08-25 15:38:56 	[quality_alignments] 	mean coverage adjusted paired-end = .
TIME 	2016-08-25 15:39:05 	[quality_alignments] 	step time for completion (seconds) = 160

INFO 	2016-08-25 15:39:08 	[make_tag_directory] 	converting BAM to BED --required for making tag directory
INFO 	2016-08-25 15:40:50 	[make_tag_directory] 	make tag directory with HOMER
INFO 	2016-08-25 15:46:48 	[make_tag_directory] 	parse step log to extract generated metadata
INFO 	2016-08-25 15:46:48 	[make_tag_directory] 	estimated genome size = 3090941399
