
INFO 	2016-06-03 17:40:32 	[quantification_featurecounts] 	quantifying read counts per gene using featureCounts
INFO 	2016-06-03 17:40:32 	[quantification_featurecounts] 	using gene models from /users/GR/mb/jquilez/assemblies/homo_sapiens/hg38/gencode/gencode.v24.annotation.gtf
INFO 	2016-06-03 17:40:32 	[quantification_featurecounts] 	kallisto (transcripts) and featurecounts (genes) quantifications are not directly comparable
INFO 	2016-06-03 17:40:32 	[quantification_featurecounts] 	even if the *_mmtv version of the assembly is used, gene/transcript models are the same as for *
INFO 	2016-06-03 17:40:32 	[quantification_featurecounts] 	sequencing type is PE so fragments are counted
INFO 	2016-06-03 17:56:14 	[quantification_featurecounts] 	quantifications are in /users/GR/mb/jquilez/data/rnaseq/samples/rf_017_01_01_rnaseq/quantifications/featurecounts/hg38_mmtv/paired_end
INFO 	2016-06-03 17:56:14 	[quantification_featurecounts] 	parse step log to extract generated metadata
INFO 	2016-06-03 17:56:14 	[quantification_featurecounts] 	total fragments = 40062656
INFO 	2016-06-03 17:56:14 	[quantification_featurecounts] 	percentage fragments assigned = 74.13941801562033231146
INFO 	2016-06-03 17:56:14 	[quantification_featurecounts] 	percentage fragments ambiguous = 1.96609281221894025198
INFO 	2016-06-03 17:56:14 	[quantification_featurecounts] 	percentage fragments multi-mapping = 13.98324414636912739884
INFO 	2016-06-03 17:56:14 	[quantification_featurecounts] 	percentage fragments no features = 9.91124502579160003770
TIME 	2016-06-03 17:56:31 	[quantification_featurecounts] 	step time for completion (seconds) = 959


INFO 	2016-06-03 17:56:32 	[pipeline] 	completed successfully
TIME 	2016-06-03 17:56:32 	[pipeline] 	total time for completion (seconds) = 988

