
INFO 	2016-06-17 15:03:03 	[trim_reads_trimmomatic] 	paths to read1 and read2 saved to metadata database
INFO 	2016-06-17 15:03:03 	[trim_reads_trimmomatic] 	sequencing type = PE
INFO 	2016-06-17 15:03:03 	[trim_reads_trimmomatic] 	trimming adapter sequences for HiSeq, NextSeq or HiSeq
INFO 	2016-06-17 15:03:03 	[trim_reads_trimmomatic] 	trimming low-quality reads ends using trimmomatic's recommended practices
INFO 	2016-06-17 15:50:36 	[trim_reads_trimmomatic] 	parse step log to extract generated metadata
INFO 	2016-06-17 15:50:36 	[trim_reads_trimmomatic] 	reads after trimming = 156160557
INFO 	2016-06-17 15:50:49 	[trim_reads_trimmomatic] 	trimmomatic parameters and numbe of trimmed reads added to metadata
INFO 	2016-06-17 15:50:49 	[trim_reads_trimmomatic] 	trimmed reads are in /users/GR/mb/jquilez/data/chrrnaseq/samples/ps_002_02_01_chrrnaseq/fastqs_processed/trimmomatic/paired_end
INFO 	2016-06-17 15:50:49 	[trim_reads_trimmomatic] 	unpaired reads are deleted
TIME 	2016-06-17 15:51:41 	[trim_reads_trimmomatic] 	step time for completion (seconds) = 2921

INFO 	2016-06-17 15:51:43 	[align_star] 	align trimmed single-end reads with STAR (version = STAR_2.5.1b_modified)
INFO 	2016-06-17 15:51:43 	[align_star] 	using ENCODE standard options for long RNA-seq pipeline
INFO 	2016-06-17 17:15:59 	[align_star] 	alignments are in /users/GR/mb/jquilez/data/chrrnaseq/samples/ps_002_02_01_chrrnaseq/alignments/star/hg19/paired_end
INFO 	2016-06-17 17:36:04 	[align_star] 	parse step log to extract generated metadata
INFO 	2016-06-17 17:36:04 	[align_star] 	reads unique (number) = 89619664
INFO 	2016-06-17 17:36:04 	[align_star] 	reads unique (percentage) = 57.39
INFO 	2016-06-17 17:36:04 	[align_star] 	accepted multi-mappings (number) = 18223342
INFO 	2016-06-17 17:36:04 	[align_star] 	accepted multi-mappings (percentage) = 11.67
INFO 	2016-06-17 17:36:04 	[align_star] 	excluded multi-mappings (percentage) = 1.13
INFO 	2016-06-17 17:36:04 	[align_star] 	reads unmapped too short (percentage) = 25.98
INFO 	2016-06-17 17:36:04 	[align_star] 	splices (number) = 415420
TIME 	2016-06-17 17:38:01 	[align_star] 	step time for completion (seconds) = 6378

INFO 	2016-06-17 17:38:04 	[quality_alignments] 	general QC of the BAM (using qualimap's bamqc)
INFO 	2016-06-17 18:14:23 	[quality_alignments] 	parse step log to extract generated metadata
INFO 	2016-06-17 18:14:23 	[quality_alignments] 	percentage of overlapping read pais = 3.14821278724867013975
INFO 	2016-06-17 18:14:23 	[quality_alignments] 	percentage duplication = 30.71
INFO 	2016-06-17 18:14:23 	[quality_alignments] 	median insert size (bp) = 187
INFO 	2016-06-17 18:14:23 	[quality_alignments] 	mean mapping quality = 122.2362
INFO 	2016-06-17 18:14:23 	[quality_alignments] 	mean coverage (X) = 26.8978
INFO 	2016-06-17 18:14:23 	[quality_alignments] 	mean coverage adjusted paired-end = 26.875

INFO 	2016-06-17 18:14:36 	[quality_alignments] 	RNAseq-specific QC of the BAM (using qualimap's rnaseq)
INFO 	2016-06-17 18:42:55 	[quality_alignments] 	parse step log to extract generated metadata
INFO 	2016-06-17 18:42:55 	[quality_alignments] 	total alignments = 341325340
INFO 	2016-06-17 18:42:55 	[quality_alignments] 	percentage secondary alignments = 36.80925887307400030715
INFO 	2016-06-17 18:42:55 	[quality_alignments] 	percentage non-unique alignments = 0
INFO 	2016-06-17 18:42:55 	[quality_alignments] 	percentage aligned to genes = .05073048487990959007
INFO 	2016-06-17 18:42:55 	[quality_alignments] 	percentage no feature assigned = 9.17087140380494457282
INFO 	2016-06-17 18:42:55 	[quality_alignments] 	percentage not aligned = 0
INFO 	2016-06-17 18:42:55 	[quality_alignments] 	percentage exonic = 0.55
INFO 	2016-06-17 18:42:55 	[quality_alignments] 	percentage intronic = 12.11
